timestamp,s_ph_sil_tput,f_k_coal_tput,f_k_coal_ncv
2023-01-01 00:00:00,160.93,12.92,6000
2023-01-01 01:00:00,155.81,12.81,6000
2023-01-01 02:00:00,161.8,13.01,6000
2023-01-01 03:00:00,161.71,12.84,6000
2023-01-01 04:00:00,147.14,11.44,6000
2023-01-01 05:00:00,154.73,12.56,6000
2023-01-01 06:00:00,168.77,13.95,6000
2023-01-01 07:00:00,159.28,13.74,6000
2023-01-01 08:00:00,165.33,13.25,6000
2023-01-01 09:00:00,155.4,12.64,6000
2023-01-01 10:00:00,161.89,12.59,6000
2023-01-01 11:00:00,162.23,12.88,6000
2023-01-01 12:00:00,161.99,12.95,6000
2023-01-01 13:00:00,162.91,13.82,6000
2023-01-01 14:00:00,175.19,14.12,6000
2023-01-01 15:00:00,153.55,12.13,6000
2023-01-01 16:00:00,158.47,12.54,6000
2023-01-01 17:00:00,147.55,11.53,6000
2023-01-01 18:00:00,166.47,13.15,6000
2023-01-01 19:00:00,155.08,12.27,6000
2023-01-01 20:00:00,155.07,12.67,6000
2023-01-01 21:00:00,142.36,11.5,6000
2023-01-01 22:00:00,176.87,14.18,6000
2023-01-01 23:00:00,157.92,13.12,6000
2023-01-02 00:00:00,139.98,10.72,6000
2023-01-02 01:00:00,162.88,13.28,6000
2023-01-02 02:00:00,160.0,12.91,6000
2023-01-02 03:00:00,156.23,11.89,6000
2023-01-02 04:00:00,154.93,12.5,6000
2023-01-02 05:00:00,147.95,11.72,6000
2023-01-02 06:00:00,154.11,12.08,6000
2023-01-02 07:00:00,158.98,12.91,6000
2023-01-02 08:00:00,173.53,14.23,6000
2023-01-02 09:00:00,150.51,12.13,6000
2023-01-02 10:00:00,163.7,12.58,6000
2023-01-02 11:00:00,152.84,12.45,6000
2023-01-02 12:00:00,167.06,13.4,6000
2023-01-02 13:00:00,147.17,12.64,6000
2023-01-02 14:00:00,147.35,11.88,6000
2023-01-02 15:00:00,151.18,11.26,6000
2023-01-02 16:00:00,157.86,13.01,6000
2023-01-02 17:00:00,151.48,13.33,6000
2023-01-02 18:00:00,161.63,12.79,6000
2023-01-02 19:00:00,169.59,13.92,6000
2023-01-02 20:00:00,168.62,13.88,6000
2023-01-02 21:00:00,166.62,13.85,6000
2023-01-02 22:00:00,163.44,13.0,6000
2023-01-02 23:00:00,157.5,12.53,6000
2023-01-03 00:00:00,161.8,13.18,6000
2023-01-03 01:00:00,159.22,11.98,6000
2023-01-03 02:00:00,161.07,12.55,6000
2023-01-03 03:00:00,144.48,11.41,6000
2023-01-03 04:00:00,155.14,12.78,6000
2023-01-03 05:00:00,165.91,13.14,6000
2023-01-03 06:00:00,153.93,12.36,6000
2023-01-03 07:00:00,157.2,13.23,6000
2023-01-03 08:00:00,164.93,13.09,6000
2023-01-03 09:00:00,176.49,14.3,6000
2023-01-03 10:00:00,173.86,13.58,6000
2023-01-03 11:00:00,182.9,14.57,6000
2023-01-03 12:00:00,147.78,11.99,6000
2023-01-03 13:00:00,148.46,12.15,6000
2023-01-03 14:00:00,148.91,12.1,6000
2023-01-03 15:00:00,163.23,12.88,6000
2023-01-03 16:00:00,152.01,11.85,6000
2023-01-03 17:00:00,183.35,14.62,6000
2023-01-03 18:00:00,152.99,12.59,6000
2023-01-03 19:00:00,174.09,14.53,6000
2023-01-03 20:00:00,151.68,12.76,6000
2023-01-03 21:00:00,172.57,13.43,6000
2023-01-03 22:00:00,143.2,11.65,6000
2023-01-03 23:00:00,162.49,13.29,6000
2023-01-04 00:00:00,166.65,13.16,6000
2023-01-04 01:00:00,181.0,15.24,6000
2023-01-04 02:00:00,162.46,13.37,6000
2023-01-04 03:00:00,149.23,11.71,6000
2023-01-04 04:00:00,161.05,13.14,6000
2023-01-04 05:00:00,145.45,12.48,6000
2023-01-04 06:00:00,164.83,13.65,6000
2023-01-04 07:00:00,152.57,12.14,6000
2023-01-04 08:00:00,152.39,12.5,6000
2023-01-04 09:00:00,165.19,13.17,6000
2023-01-04 10:00:00,167.75,13.25,6000
2023-01-04 11:00:00,151.49,12.12,6000
2023-01-04 12:00:00,159.93,13.37,6000
2023-01-04 13:00:00,168.35,12.93,6000
2023-01-04 14:00:00,147.64,11.34,6000
2023-01-04 15:00:00,160.94,13.31,6000
2023-01-04 16:00:00,143.44,11.59,6000
2023-01-04 17:00:00,156.51,13.2,6000
2023-01-04 18:00:00,166.01,13.5,6000
2023-01-04 19:00:00,156.0,12.87,6000
2023-01-04 20:00:00,148.49,11.75,6000
2023-01-04 21:00:00,176.9,14.5,6000
2023-01-04 22:00:00,157.71,13.36,6000
2023-01-04 23:00:00,159.44,13.29,6000
2023-01-05 00:00:00,163.54,13.54,6000
2023-01-05 01:00:00,166.94,13.52,6000
